id,lane,frame,timestamp
1,1,11,0.36666666666666664
4,1,38,1.2666666666666666
2,2,42,1.4
12,3,61,2.033333333333333
7,1,98,3.2666666666666666
9,2,123,4.1
3,1,146,4.866666666666666
39,1,194,6.466666666666667
29,1,215,7.166666666666667
27,1,247,8.233333333333333
31,1,271,9.033333333333333
24,2,274,9.133333333333333
41,1,283,9.433333333333334
33,1,333,11.1
48,1,336,11.2
66,1,373,12.433333333333334
45,1,406,13.533333333333333
52,2,432,14.4
67,1,456,15.2
100,1,591,19.7
106,1,593,19.766666666666666
109,1,640,21.333333333333332
104,2,672,22.4
107,2,738,24.6
132,1,778,25.933333333333334
119,1,790,26.333333333333332
126,1,812,27.066666666666666
170,3,861,28.7
145,1,865,28.833333333333332
125,2,881,29.366666666666667
154,1,939,31.3
206,3,1000,33.333333333333336
137,1,1003,33.43333333333333
224,3,1057,35.233333333333334
141,1,1131,37.7
133,2,1143,38.1
194,1,1192,39.733333333333334
166,1,1196,39.86666666666667
260,3,1211,40.36666666666667
193,1,1264,42.13333333333333
222,1,1282,42.733333333333334
245,1,1341,44.7
238,1,1359,45.3
289,3,1377,45.9
252,1,1429,47.63333333333333
269,1,1457,48.56666666666666
315,3,1472,49.06666666666666
265,1,1491,49.7
280,1,1533,51.1
333,3,1549,51.63333333333333
281,1,1580,52.666666666666664
317,1,1597,53.233333333333334
338,3,1602,53.4
305,1,1659,55.3
334,1,1678,55.93333333333333
149,2,1684,56.13333333333333
372,1,1695,56.5
329,1,1709,56.96666666666667
335,1,1759,58.63333333333333
347,1,1782,59.4
322,1,1817,60.56666666666666
259,2,1838,61.266666666666666
346,1,1894,63.13333333333333
363,2,1919,63.96666666666667
380,2,1995,66.5
404,1,2003,66.76666666666667
365,1,2048,68.26666666666667
401,2,2050,68.33333333333333
398,1,2083,69.43333333333334
397,2,2095,69.83333333333333
392,1,2132,71.06666666666666
442,1,2134,71.13333333333333
405,1,2146,71.53333333333333
409,2,2147,71.56666666666666
407,1,2220,74.0
420,1,2241,74.7
419,2,2259,75.3
422,1,2286,76.2
439,1,2291,76.36666666666666
437,1,2351,78.36666666666666
434,1,2431,81.03333333333333
453,1,2460,82.0
465,2,2471,82.36666666666666
474,1,2500,83.33333333333333
484,1,2548,84.93333333333334
482,2,2581,86.03333333333333
490,2,2630,87.66666666666667
500,1,2657,88.56666666666666
503,1,2677,89.23333333333333
512,1,2695,89.83333333333333
508,1,2752,91.73333333333333
518,1,2789,92.96666666666667
517,1,2837,94.56666666666666
519,1,2909,96.96666666666667
521,1,2940,98.0
523,1,2963,98.76666666666667
527,1,2989,99.63333333333333
531,1,3054,101.8
536,1,3096,103.2
543,1,3159,105.3
547,1,3175,105.83333333333333
557,1,3187,106.23333333333333
564,1,3210,107.0
551,1,3241,108.03333333333333
545,2,3252,108.39999999999999
562,1,3273,109.1
565,1,3300,110.0
554,2,3330,111.0
589,3,3339,111.3
576,1,3411,113.7
604,1,3457,115.23333333333333
605,1,3510,117.0
622,3,3511,117.03333333333333
617,1,3558,118.6
609,1,3570,119.0
619,1,3628,120.93333333333334
601,2,3633,121.1
608,1,3635,121.16666666666667
634,3,3664,122.13333333333333
626,1,3741,124.7
653,1,3918,130.6
648,1,3948,131.6
654,1,3966,132.2
693,1,4047,134.9
662,1,4048,134.93333333333334
668,1,4111,137.03333333333333
695,1,4130,137.66666666666666
657,2,4148,138.26666666666665
715,3,4157,138.56666666666666
681,1,4158,138.6
694,1,4165,138.83333333333334
701,1,4182,139.4
703,1,4201,140.03333333333333
746,3,4225,140.83333333333334
708,1,4244,141.46666666666667
753,3,4256,141.86666666666667
729,1,4263,142.1
718,1,4281,142.7
742,1,4297,143.23333333333332
726,1,4311,143.7
785,1,4335,144.5
732,1,4358,145.26666666666665
670,2,4361,145.36666666666667
784,1,4424,147.46666666666667
795,3,4435,147.83333333333334
792,1,4495,149.83333333333334
684,2,4515,150.5
697,2,4592,153.06666666666666
806,1,4613,153.76666666666665
820,1,4664,155.46666666666667
823,1,4716,157.2
709,2,4722,157.4
835,3,4739,157.96666666666667
812,1,4745,158.16666666666666
828,1,4805,160.16666666666666
859,3,4812,160.4
842,1,4836,161.2
845,1,4875,162.5
849,1,4924,164.13333333333333
846,1,4999,166.63333333333333
872,1,5042,168.06666666666666
780,2,5063,168.76666666666665
883,1,5077,169.23333333333332
899,3,5083,169.43333333333334
873,1,5096,169.86666666666667
830,2,5155,171.83333333333334
903,1,5173,172.43333333333334
892,1,5197,173.23333333333332
952,2,5304,176.8
916,1,5325,177.5
893,1,5354,178.46666666666667
970,3,5403,180.1
909,2,5481,182.7
971,1,5517,183.9
911,1,5533,184.43333333333334
933,2,5559,185.3
927,2,5618,187.26666666666665
1013,1,5625,187.5
935,1,5668,188.93333333333334
1023,1,5671,189.03333333333333
1036,3,5704,190.13333333333333
1000,1,5742,191.4
1022,1,5798,193.26666666666665
955,2,5833,194.43333333333334
1034,1,5846,194.86666666666667
1053,3,5851,195.03333333333333
1051,1,5897,196.56666666666666
1070,3,5905,196.83333333333334
968,1,5919,197.3
1081,3,5946,198.2
1012,1,5975,199.16666666666666
1068,1,5989,199.63333333333333
964,2,6018,200.6
1071,1,6027,200.9
1064,1,6028,200.93333333333334
1109,1,6171,205.7
1100,1,6174,205.79999999999998
1118,2,6216,207.2
1101,1,6251,208.36666666666667
1094,1,6301,210.03333333333333
1182,3,6331,211.03333333333333
1171,1,6351,211.7
1153,1,6361,212.03333333333333
1197,3,6387,212.9
1156,1,6409,213.63333333333333
1149,1,6432,214.4
1183,1,6444,214.79999999999998
1018,2,6455,215.16666666666666
1181,1,6476,215.86666666666667
1200,1,6482,216.06666666666666
1192,1,6528,217.6
1202,1,6572,219.06666666666666
1132,2,6577,219.23333333333332
1219,3,6588,219.6
1211,2,6649,221.63333333333333
1225,2,6729,224.29999999999998
1221,1,6749,224.96666666666667
1259,3,6838,227.93333333333334
1242,1,6882,229.4
1236,2,6886,229.53333333333333
1270,1,6896,229.86666666666667
1235,2,6959,231.96666666666667
1257,2,7104,236.79999999999998
1289,1,7123,237.43333333333334
1290,1,7190,239.66666666666666
1263,2,7211,240.36666666666667
1298,1,7276,242.53333333333333
1311,3,7287,242.9
1301,1,7335,244.5
1325,3,7369,245.63333333333333
1315,1,7373,245.76666666666665
1333,3,7434,247.79999999999998
1322,1,7510,250.33333333333334
1277,2,7516,250.53333333333333
1346,1,7548,251.6
1331,1,7569,252.29999999999998
1351,1,7601,253.36666666666667
1378,3,7631,254.36666666666667
1361,1,7644,254.79999999999998
1350,1,7653,255.1
1375,1,7709,256.96666666666664
1304,2,7712,257.06666666666666
1386,1,7751,258.3666666666667
1366,1,7771,259.0333333333333
1395,1,7872,262.4
1392,2,7898,263.26666666666665
1423,3,7914,263.8
1409,1,7921,264.0333333333333
1402,1,7937,264.56666666666666
1410,1,7959,265.3
1408,1,7999,266.6333333333333
1434,1,8059,268.6333333333333
1426,1,8061,268.7
1411,2,8080,269.3333333333333
1453,1,8178,272.6
1437,2,8179,272.6333333333333
1448,1,8207,273.56666666666666
1462,1,8237,274.56666666666666
1444,2,8239,274.6333333333333
1464,1,8269,275.6333333333333
1475,1,8326,277.5333333333333
1501,1,8356,278.5333333333333
1465,1,8358,278.6
1494,1,8419,280.6333333333333
1478,2,8443,281.43333333333334
1479,1,8454,281.8
1497,1,8465,282.1666666666667
1505,1,8496,283.2
1496,1,8500,283.3333333333333
1531,1,8538,284.6
1532,1,8556,285.2
1524,1,8610,287.0
1506,2,8625,287.5
1509,2,8678,289.26666666666665
1577,3,8781,292.7
1548,1,8807,293.56666666666666
1588,2,8861,295.3666666666667
1567,1,8869,295.6333333333333
1594,1,9005,300.1666666666667
1596,1,9019,300.6333333333333
1593,2,9037,301.23333333333335
1601,1,9043,301.43333333333334
1629,3,9062,302.06666666666666
1607,1,9149,304.96666666666664
1658,3,9179,305.96666666666664
